sample_id,Best $\lambda_1$,Best $\lambda_2$,Best RSE
0,0.012742749857031334,0.002976351441631319,1.6429797356056501
1,0.0001623776739188721,0.004832930238571752,2.0964478679656664
2,0.00026366508987303583,0.0018329807108324356,1.914854239519381
3,0.00042813323987193956,0.002976351441631319,2.2780116771947796
4,0.00026366508987303583,0.0011288378916846883,2.1812344252273013
5,0.0011288378916846883,0.0001,1.7002142260716133
6,0.0206913808111479,0.0018329807108324356,1.9548232361318518
7,0.0011288378916846883,0.0001623776739188721,1.9679971667068645
8,0.0018329807108324356,0.0001,2.5489932354345983
9,0.004832930238571752,0.0001623776739188721,2.45628375133168
10,0.00026366508987303583,0.0001,1.9217795969193876
11,0.0011288378916846883,0.004832930238571752,1.5752157782032328
12,0.0018329807108324356,0.0001623776739188721,1.8700420040744838
13,0.03359818286283781,0.0006951927961775605,1.6956315065516485
14,0.0018329807108324356,0.00042813323987193956,1.6368365814163053
15,0.00026366508987303583,0.0001623776739188721,2.169724415472859
16,0.0018329807108324356,0.0001623776739188721,1.6915670487479961
17,0.0001623776739188721,0.0006951927961775605,2.126072682602884
18,0.0006951927961775605,0.004832930238571752,1.9280322692360348
19,0.012742749857031334,0.007847599703514606,2.1342163824609046
